PID	Wait Time	Total Time
170	893		912
128	1005		1018
111	1989		2023
80	2102		2121
197	2314		2332
131	2318		2351
184	2337		2355
19	2433		2446
28	2540		2571
149	2835		2850
106	2871		2896
147	3215		3231
17	3283		3308
41	3335		3392
177	3848		3891
142	4017		4057
110	4071		4093
117	4103		4113
21	4644		4669
176	4838		4853
22	4949		4964
178	5023		5045
11	5058		5097
134	5286		5313
34	5971		5995
153	6193		6226
27	6224		6253
127	6506		6532
162	6570		6582
137	6692		6788
40	6881		6955
85	7114		7206
6	7425		7449
89	7399		7453
83	7389		7471
180	7827		7881
194	7954		7992
52	8027		8101
15	8105		8156
148	8164		8195
79	8224		8283
20	8955		9020
161	8991		9069
77	9167		9235
60	9247		9316
73	9424		9430
37	9435		9506
96	9804		9903
42	10159		10242
167	10285		10405
113	10513		10530
66	10492		10569
30	10597		10637
48	10640		10709
35	10636		10725
26	10696		10758
3	10810		10893
47	10749		10903
191	10822		10927
107	11045		11136
121	11125		11175
92	11118		11188
168	11122		11222
33	11255		11377
115	11402		11458
32	11448		11585
25	11531		11623
82	11621		11691
61	11699		11778
122	11951		12034
145	11894		12043
65	11970		12090
44	12057		12110
175	12081		12201
97	12324		12381
74	12458		12474
95	12407		12482
93	12857		13005
63	12884		13023
200	13083		13251
46	13318		13376
193	13265		13418
125	13389		13533
64	13481		13599
109	13598		13737
135	13753		13802
190	13858		13886
159	13865		13931
39	13849		13977
166	13924		14005
112	13923		14027
10	13935		14046
198	13950		14048
132	13878		14071
12	14052		14143
154	13998		14144
55	14029		14213
165	14077		14247
13	14242		14361
103	14296		14365
139	14250		14382
75	14360		14529
173	14510		14664
138	14610		14704
9	14780		14802
67	14721		14826
164	14686		14878
7	14969		14995
72	15092		15189
24	15215		15404
158	15215		15399
144	15273		15438
8	15315		15466
160	15605		15655
104	15750		15875
155	15816		15962
181	15944		15983
56	15936		16116
87	15922		16113
43	16038		16143
174	16289		16440
182	16364		16446
179	16382		16504
192	16367		16547
188	16407		16556
2	16411		16597
157	16602		16695
81	16631		16790
53	16749		16888
51	16753		16927
100	16792		16927
50	17022		17192
29	17095		17207
101	17083		17251
31	17294		17442
84	17241		17437
91	17441		17590
71	17638		17725
114	17674		17724
189	17632		17737
98	17747		17946
196	17800		17942
16	17972		18061
70	17905		18074
99	18051		18151
62	18085		18157
36	18170		18258
76	18113		18303
102	18130		18324
90	18225		18373
68	18266		18460
105	18261		18459
18	18379		18525
118	18538		18577
186	18456		18622
120	18578		18692
4	18525		18716
94	18611		18718
108	18606		18754
116	18698		18859
5	18692		18881
126	18812		18956
163	18829		18969
54	18875		19049
146	19076		19238
171	19189		19303
136	19274		19378
140	19262		19412
187	19265		19441
86	19311		19475
38	19371		19544
130	19662		19823
88	19763		19934
59	19883		20061
199	19876		20045
150	20138		20317
69	20363		20477
57	20389		20565
124	20487		20643
143	20584		20692
58	20618		20767
1	20688		20829
78	20795		20927
156	20801		20919
169	20767		20919
141	20779		20974
185	20887		21017
129	20871		21071
23	20954		21117
14	21033		21190
151	21188		21335
195	21253		21402
49	21242		21429
133	21233		21429
183	21241		21433
123	21354		21473
45	21362		21527
172	21319		21515
152	21333		21519
119	21335		21535


Total System Time:	21549

